Method,Sex,Stage,Status,Confidential,Quantity Qualifier,Vice-county
Actinic light,Male,Adult,Accidental,Yes,Exact,1-West Cornwall
At rest,Female,"Adult, Dead",Adventive,No,Estimate,2-East Cornwall
Beaten,Not recorded,Case,Alien,,,3-South Devon
Bred,Unknown,Cocoon,Breeding (confirmed),,,4-North Devon
Daytime record,,Copulating pairs,Breeding (possible),,,5-South Somerset
Documented record,,Dead,Breeding (probable),,,6-North Somerset
Dusking,,Egg,Escape,,,7-North Wiltshire
Field record,,Egg-batch,Established,,,8-South Wiltshire
Indoor record,,Emergence holes,Introduced,,,9-Dorset
"Ivy, ivy blossom",,Exuvia,Migrant,,,10-Isle of Wight
LED light,,Gall,Not recorded,,,11-South Hampshire
MV light,,Larval,Resident,,,12-North Hampshire
Nectaring,,Larval feeding signs,Unknown,,,13-West Sussex
Netted,,Larval spinning,Vagrant,,,14-East Sussex
Not recorded,,Larval tube,Void,,,15-East Kent
Pheromone lure,,Larval web,,,,16-West Kent
Photographic record,,"Larval, Dead",,,,17-Surrey
Reported to recorder,,Mine,,,,18-South Essex
Rothamsted trap,,Mine (vacated),,,,19-North Essex
Sallowing,,Nest,,,,20-Hertfordshire
Standard survey,,Not recorded,,,,21-Middlesex
Sugar,,Pupal,,,,22-Berkshire
Swept,,Pupal exuviae,,,,23-Oxfordshire
Torchlight,,"Pupal, Dead",,,,24-Buckinghamshire
Various methods,,,,,,25-East Suffolk
Voucher specimen,,,,,,26-West Suffolk
Wine ropes,,,,,,27-East Norfolk
,,,,,,28-West Norfolk
,,,,,,29-Cambridgeshire
,,,,,,30-Bedfordshire
,,,,,,31-Huntingdonshire
,,,,,,32-Northamptonshire
,,,,,,33-East Gloucestershire
,,,,,,34-West Gloucestershire
,,,,,,35-Monmouthshire
,,,,,,36-Herefordshire
,,,,,,37-Worcestershire
,,,,,,38-Warwickshire
,,,,,,39-Staffordshire
,,,,,,40-Shropshire
,,,,,,41-Glamorganshire
,,,,,,42-Breconshire
,,,,,,43-Radnorshire
,,,,,,44-Caerfyrddyn (Carmarthenshire)
,,,,,,45-Pembrokeshire
,,,,,,46-Ceredigion (Cardiganshire)
,,,,,,47-Montgomeryshire
,,,,,,48-Meirionydd (Merionithshire)
,,,,,,49-Caernarfon (Caernarvonshire)
,,,,,,50-Denbighshire
,,,,,,51-Flintshire
,,,,,,52-Anglesey
,,,,,,53-South Lincolnshire
,,,,,,54-North Lincolnshire
,,,,,,55-Leicestershire & Rutland
,,,,,,56-Nottinghamshire
,,,,,,57-Derbyshire
,,,,,,58-Cheshire
,,,,,,59-South Lancashire
,,,,,,60-West Lancashire
,,,,,,61-South-east Yorkshire
,,,,,,62-North-east Yorkshire
,,,,,,63-South-west Yorkshire
,,,,,,64-Mid-west Yorkshire
,,,,,,65-North-west Yorkshire
,,,,,,66-Durham
,,,,,,67-South Northumberland
,,,,,,68-North Northumberland (Cheviotland)
,,,,,,69-Westmorland & North Lancashire
,,,,,,70-Cumberland
,,,,,,71-Isle of Man
,,,,,,72-Dumfriesshire
,,,,,,73-Kirkudbrightshire
,,,,,,74-Wigtownshire
,,,,,,75-Ayrshire
,,,,,,76-Renfrewshire
,,,,,,77-Lanarkshire
,,,,,,78-Peebleshire
,,,,,,79-Selkirkshire
,,,,,,80-Roxburghshire
,,,,,,81-Berwickshire
