Shortcut,Code,B&F,Taxon,Vernacular,Taxon group,Grade,specific
1,1.001,1,Micropterix tunbergella,Red-barred Gold,Micro-moth,1,tunbergella
1.001,1.001,1,Micropterix tunbergella,Red-barred Gold,Micro-moth,1,tunbergella
micropterix tunbergella,1.001,1,Micropterix tunbergella,Red-barred Gold,Micro-moth,1,tunbergella
mitun,1.001,1,Micropterix tunbergella,Red-barred Gold,Micro-moth,1,tunbergella
red-barred gold,1.001,1,Micropterix tunbergella,Red-barred Gold,Micro-moth,1,tunbergella
1.002,1.002,2,Micropterix mansuetella,Black-headed Gold,Micro-moth,1,mansuetella
2,1.002,2,Micropterix mansuetella,Black-headed Gold,Micro-moth,1,mansuetella
black-headed gold,1.002,2,Micropterix mansuetella,Black-headed Gold,Micro-moth,1,mansuetella
micropterix mansuetella,1.002,2,Micropterix mansuetella,Black-headed Gold,Micro-moth,1,mansuetella
miman,1.002,2,Micropterix mansuetella,Black-headed Gold,Micro-moth,1,mansuetella
1.003,1.003,3,Micropterix aureatella,Yellow-barred Gold,Micro-moth,1,aureatella
3,1.003,3,Micropterix aureatella,Yellow-barred Gold,Micro-moth,1,aureatella
miaur,1.003,3,Micropterix aureatella,Yellow-barred Gold,Micro-moth,1,aureatella
micropterix aureatella,1.003,3,Micropterix aureatella,Yellow-barred Gold,Micro-moth,1,aureatella
yellow-barred gold,1.003,3,Micropterix aureatella,Yellow-barred Gold,Micro-moth,1,aureatella
1.004,1.004,4,Micropterix aruncella,White-barred Gold,Micro-moth,2,aruncella
4,1.004,4,Micropterix aruncella,White-barred Gold,Micro-moth,2,aruncella
miaru,1.004,4,Micropterix aruncella,White-barred Gold,Micro-moth,2,aruncella
micropterix aruncella,1.004,4,Micropterix aruncella,White-barred Gold,Micro-moth,2,aruncella
white-barred gold,1.004,4,Micropterix aruncella,White-barred Gold,Micro-moth,2,aruncella
1.005,1.005,5,Micropterix calthella,Plain Gold,Micro-moth,2,calthella
5,1.005,5,Micropterix calthella,Plain Gold,Micro-moth,2,calthella
mical,1.005,5,Micropterix calthella,Plain Gold,Micro-moth,2,calthella
micropterix calthella,1.005,5,Micropterix calthella,Plain Gold,Micro-moth,2,calthella
plain gold,1.005,5,Micropterix calthella,Plain Gold,Micro-moth,2,calthella
2.001,2.001,6,Dyseriocrania subpurpurella,Common Oak Purple,Micro-moth,2,subpurpurella
6,2.001,6,Dyseriocrania subpurpurella,Common Oak Purple,Micro-moth,2,subpurpurella
common oak purple,2.001,6,Dyseriocrania subpurpurella,Common Oak Purple,Micro-moth,2,subpurpurella
dyseriocrania subpurpurella,2.001,6,Dyseriocrania subpurpurella,Common Oak Purple,Micro-moth,2,subpurpurella
dysub,2.001,6,Dyseriocrania subpurpurella,Common Oak Purple,Micro-moth,2,subpurpurella
2.002,2.002,7,Paracrania chrysolepidella,Small Hazel Purple,Micro-moth,3,chrysolepidella
7,2.002,7,Paracrania chrysolepidella,Small Hazel Purple,Micro-moth,3,chrysolepidella
pachr,2.002,7,Paracrania chrysolepidella,Small Hazel Purple,Micro-moth,3,chrysolepidella
paracrania chrysolepidella,2.002,7,Paracrania chrysolepidella,Small Hazel Purple,Micro-moth,3,chrysolepidella
small hazel purple,2.002,7,Paracrania chrysolepidella,Small Hazel Purple,Micro-moth,3,chrysolepidella
2.003,2.003,8,Eriocrania unimaculella,White-spot Purple,Micro-moth,2,unimaculella
8,2.003,8,Eriocrania unimaculella,White-spot Purple,Micro-moth,2,unimaculella
eriocrania unimaculella,2.003,8,Eriocrania unimaculella,White-spot Purple,Micro-moth,2,unimaculella
eruni,2.003,8,Eriocrania unimaculella,White-spot Purple,Micro-moth,2,unimaculella
white-spot purple,2.003,8,Eriocrania unimaculella,White-spot Purple,Micro-moth,2,unimaculella
2.004,2.004,9,Eriocrania sparrmannella,Mottled Purple,Micro-moth,2,sparrmannella
9,2.004,9,Eriocrania sparrmannella,Mottled Purple,Micro-moth,2,sparrmannella
eriocrania sparrmannella,2.004,9,Eriocrania sparrmannella,Mottled Purple,Micro-moth,2,sparrmannella
erspa,2.004,9,Eriocrania sparrmannella,Mottled Purple,Micro-moth,2,sparrmannella
mottled purple,2.004,9,Eriocrania sparrmannella,Mottled Purple,Micro-moth,2,sparrmannella
2.005,2.005,10,Eriocrania salopiella,Small Birch Purple,Micro-moth,2,salopiella
10,2.005,10,Eriocrania salopiella,Small Birch Purple,Micro-moth,2,salopiella
eriocrania salopiella,2.005,10,Eriocrania salopiella,Small Birch Purple,Micro-moth,2,salopiella
ersal,2.005,10,Eriocrania salopiella,Small Birch Purple,Micro-moth,2,salopiella
small birch purple,2.005,10,Eriocrania salopiella,Small Birch Purple,Micro-moth,2,salopiella
2.006,2.006,11,Eriocrania cicatricella,Washed Purple,Micro-moth,4,cicatricella
11,2.006,11,Eriocrania cicatricella,Washed Purple,Micro-moth,4,cicatricella
ercic,2.006,11,Eriocrania cicatricella,Washed Purple,Micro-moth,4,cicatricella
eriocrania cicatricella,2.006,11,Eriocrania cicatricella,Washed Purple,Micro-moth,4,cicatricella
washed purple,2.006,11,Eriocrania cicatricella,Washed Purple,Micro-moth,4,cicatricella
2.007,2.007,13,Eriocrania semipurpurella,Early Purple,Micro-moth,4,semipurpurella
13,2.007,13,Eriocrania semipurpurella,Early Purple,Micro-moth,4,semipurpurella
early purple,2.007,13,Eriocrania semipurpurella,Early Purple,Micro-moth,4,semipurpurella
eriocrania semipurpurella,2.007,13,Eriocrania semipurpurella,Early Purple,Micro-moth,4,semipurpurella
ersem,2.007,13,Eriocrania semipurpurella,Early Purple,Micro-moth,4,semipurpurella
2.008,2.008,12,Eriocrania sangii,Large Birch Purple,Micro-moth,4,sangii
12,2.008,12,Eriocrania sangii,Large Birch Purple,Micro-moth,4,sangii
eriocrania sangii,2.008,12,Eriocrania sangii,Large Birch Purple,Micro-moth,4,sangii
ersan,2.008,12,Eriocrania sangii,Large Birch Purple,Micro-moth,4,sangii
large birch purple,2.008,12,Eriocrania sangii,Large Birch Purple,Micro-moth,4,sangii
3.001,3.001,15,Triodia sylvina,Orange Swift,Macro-moth,1,sylvina
15,3.001,15,Triodia sylvina,Orange Swift,Macro-moth,1,sylvina
osw,3.001,15,Triodia sylvina,Orange Swift,Macro-moth,1,sylvina
triodia sylvina,3.001,15,Triodia sylvina,Orange Swift,Macro-moth,1,sylvina
trsyl,3.001,15,Triodia sylvina,Orange Swift,Macro-moth,1,sylvina
3.002,3.002,17,Korscheltellus lupulina,Common Swift,Macro-moth,1,lupulina
17,3.002,17,Korscheltellus lupulina,Common Swift,Macro-moth,1,lupulina
coswi,3.002,17,Korscheltellus lupulina,Common Swift,Macro-moth,1,lupulina
cs,3.002,17,Korscheltellus lupulina,Common Swift,Macro-moth,1,lupulina
korscheltellus lupulina,3.002,17,Korscheltellus lupulina,Common Swift,Macro-moth,1,lupulina
3.003,3.003,18,Korscheltellus fusconebulosa,Map-winged Swift,Macro-moth,2,fusconebulosa
18,3.003,18,Korscheltellus fusconebulosa,Map-winged Swift,Macro-moth,2,fusconebulosa
kofus,3.003,18,Korscheltellus fusconebulosa,Map-winged Swift,Macro-moth,2,fusconebulosa
korscheltellus fusconebulosa,3.003,18,Korscheltellus fusconebulosa,Map-winged Swift,Macro-moth,2,fusconebulosa
map-winged swift,3.003,18,Korscheltellus fusconebulosa,Map-winged Swift,Macro-moth,2,fusconebulosa
3.004,3.004,16,Phymatopus hecta,Gold Swift,Macro-moth,1,hecta
16,3.004,16,Phymatopus hecta,Gold Swift,Macro-moth,1,hecta
gold swift,3.004,16,Phymatopus hecta,Gold Swift,Macro-moth,1,hecta
phhec,3.004,16,Phymatopus hecta,Gold Swift,Macro-moth,1,hecta
phymatopus hecta,3.004,16,Phymatopus hecta,Gold Swift,Macro-moth,1,hecta
3.005,3.005,14,Hepialus humuli,Ghost Moth,Macro-moth,1,humuli
14,3.005,14,Hepialus humuli,Ghost Moth,Macro-moth,1,humuli
ghost moth,3.005,14,Hepialus humuli,Ghost Moth,Macro-moth,1,humuli
hehum,3.005,14,Hepialus humuli,Ghost Moth,Macro-moth,1,humuli
hepialus humuli,3.005,14,Hepialus humuli,Ghost Moth,Macro-moth,1,humuli
4.001,4.001,118,Enteucha acetosae,Sorrel Pigmy,Micro-moth,Ungraded,acetosae
118,4.001,118,Enteucha acetosae,Sorrel Pigmy,Micro-moth,Ungraded,acetosae
enace,4.001,118,Enteucha acetosae,Sorrel Pigmy,Micro-moth,Ungraded,acetosae
enteucha acetosae,4.001,118,Enteucha acetosae,Sorrel Pigmy,Micro-moth,Ungraded,acetosae
sorrel pigmy,4.001,118,Enteucha acetosae,Sorrel Pigmy,Micro-moth,Ungraded,acetosae
4.002,4.002,116,Stigmella lapponica,Drab Birch Pigmy,Micro-moth,Ungraded,lapponica
116,4.002,116,Stigmella lapponica,Drab Birch Pigmy,Micro-moth,Ungraded,lapponica
drab birch pigmy,4.002,116,Stigmella lapponica,Drab Birch Pigmy,Micro-moth,Ungraded,lapponica
stigmella lapponica,4.002,116,Stigmella lapponica,Drab Birch Pigmy,Micro-moth,Ungraded,lapponica
stlap,4.002,116,Stigmella lapponica,Drab Birch Pigmy,Micro-moth,Ungraded,lapponica
4.003,4.003,117,Stigmella confusella,Pale Birch Pigmy,Micro-moth,Ungraded,confusella
117,4.003,117,Stigmella confusella,Pale Birch Pigmy,Micro-moth,Ungraded,confusella
pale birch pigmy,4.003,117,Stigmella confusella,Pale Birch Pigmy,Micro-moth,Ungraded,confusella
stcon1,4.003,117,Stigmella confusella,Pale Birch Pigmy,Micro-moth,Ungraded,confusella
stigmella confusella,4.003,117,Stigmella confusella,Pale Birch Pigmy,Micro-moth,Ungraded,confusella
4.004,4.004,90,Stigmella tiliae,Lime Pigmy,Micro-moth,Ungraded,tiliae
90,4.004,90,Stigmella tiliae,Lime Pigmy,Micro-moth,Ungraded,tiliae
lime pigmy,4.004,90,Stigmella tiliae,Lime Pigmy,Micro-moth,Ungraded,tiliae
stigmella tiliae,4.004,90,Stigmella tiliae,Lime Pigmy,Micro-moth,Ungraded,tiliae
sttil,4.004,90,Stigmella tiliae,Lime Pigmy,Micro-moth,Ungraded,tiliae
4.005,4.005,110,Stigmella betulicola,Common Birch Pigmy,Micro-moth,Ungraded,betulicola
110,4.005,110,Stigmella betulicola,Common Birch Pigmy,Micro-moth,Ungraded,betulicola
common birch pigmy,4.005,110,Stigmella betulicola,Common Birch Pigmy,Micro-moth,Ungraded,betulicola
stbet,4.005,110,Stigmella betulicola,Common Birch Pigmy,Micro-moth,Ungraded,betulicola
stigmella betulicola,4.005,110,Stigmella betulicola,Common Birch Pigmy,Micro-moth,Ungraded,betulicola
4.006,4.006,113,Stigmella sakhalinella,Small Birch Pigmy,Micro-moth,Ungraded,sakhalinella
113,4.006,113,Stigmella sakhalinella,Small Birch Pigmy,Micro-moth,Ungraded,sakhalinella
small birch pigmy,4.006,113,Stigmella sakhalinella,Small Birch Pigmy,Micro-moth,Ungraded,sakhalinella
stigmella sakhalinella,4.006,113,Stigmella sakhalinella,Small Birch Pigmy,Micro-moth,Ungraded,sakhalinella
stsak,4.006,113,Stigmella sakhalinella,Small Birch Pigmy,Micro-moth,Ungraded,sakhalinella
4.007,4.007,112,Stigmella luteella,Short-barred Pigmy,Micro-moth,Ungraded,luteella
