Shortcut,Code,Vernacular,Taxon,Grade,Location (64),Grid reference (12),Vice-county,Observer(s) (64),Determiner (64),Date (10),Date Validator,Abundance,Abundance qualifier,Sampling method,Sex,Life stage,Record status,Confidential,Comment (255)
"62.035, 1439, acadv, acrobasis advenella, grey knot-horn",62.035,Grey Knot-horn,Acrobasis advenella,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ & CM Beale,NA,14/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.045, 2289, acronicta rumicis, acrum, knot grass",73.045,Knot Grass,Acronicta rumicis,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ & CM Beale,NA,14/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.093, 1304, sgv, agstr, sgm",63.093,Straw Grass-veneer,Agriphila straminella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ & CM Beale,NA,14/08/2026,NA,13,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.089, 1305, comgr, agtri, cgm",63.089,Common Grass-veneer,Agriphila tristella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ & CM Beale,NA,14/08/2026,NA,27,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.325, 2092, agput2, agrotis puta, shuttle-shaped dart",73.325,Shuttle-shaped Dart,Agrotis puta,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ & CM Beale,NA,14/08/2026,NA,8,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.319, 2087, agrotis segetum, agseg, turnip moth",73.319,Turnip Moth,Agrotis segetum,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ & CM Beale,NA,14/08/2026,NA,26,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.064, 2299, amphipyra tragopoginis, amtra, mouse moth",73.064,Mouse Moth,Amphipyra tragopoginis,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ & CM Beale,NA,14/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"20.012, 411, argoe, argyresthia goedartella, golden argent",20.012,Golden Argent,Argyresthia goedartella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ & CM Beale,NA,14/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.219, 2269, atcen, atethmia centrago, cbs, centre-barred sallow",73.219,Centre-barred Sallow,Atethmia centrago,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ & CM Beale,NA,14/08/2026,NA,5,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.095, 2389, cacla, caradrina clavipalpis, pale mottled willow, pmw",73.095,Pale Mottled Willow,Caradrina clavipalpis,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ & CM Beale,NA,14/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.102, 1316, cafal2, catoptria falsella, chequered grass-veneer",63.102,Chequered Grass-veneer,Catoptria falsella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ & CM Beale,NA,14/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.161, 1063, barred marble, celypha striana, cestr",49.161,Barred Marble,Celypha striana,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ & CM Beale,NA,14/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"65.007, 1651, chinese character, cigla, cilix glaucata",65.007,Chinese Character,Cilix glaucata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ & CM Beale,NA,14/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.338, 1261, codling moth, cydia pomonella, cypom",49.338,Codling Moth,Cydia pomonella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ & CM Beale,NA,14/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"45.044, 1524, common plume, emmelina monodactyla, emmon",45.044,Common Plume,Emmelina monodactyla,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ & CM Beale,NA,14/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.236, 1915, enero, ennomos erosaria, september thorn",70.236,September Thorn,Ennomos erosaria,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ & CM Beale,NA,14/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.235, 1914, dusky thorn, enfus, ennomos fuscantaria",70.235,Dusky Thorn,Ennomos fuscantaria,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ & CM Beale,NA,14/08/2026,NA,4,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.039, 998, epiphyas postvittana, eppos, lbam, light brown apple-moth",49.039,Light Brown Apple-moth,Epiphyas postvittana,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ & CM Beale,NA,14/08/2026,NA,5,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.173, 1825, eucen, eupithecia centaureata, lime-speck pug",70.173,Lime-speck Pug,Eupithecia centaureata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ & CM Beale,NA,14/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.057, 1356, evergestis forficalis, evfor, garden pebble",63.057,Garden Pebble,Evergestis forficalis,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ & CM Beale,NA,14/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
